"ranking_date","player_id","player_name","atp_rank","atp_points"
"20260525","117361","Akira Santillan","307","176"
"20260525","207171","Hamish Stewart","308","175"
"20260525","144817","Marc Andrea Huesler","309","173"
"20260525","207797","Jonas Forejtek","310","173"
"20260525","209406","Abedallah Shelbayh","311","172"
"20260525","106034","Yasutaka Uchiyama","312","169"
"20260525","206703","Paul Jubb","313","169"
"20260525","210340","Philip Sekulic","314","168"
"20260525","209874","Maks Kasnikowski","315","167"
"20260525","209080","Blaise Bicknell","316","167"
"20260525","211617","Maxim Mrva","317","166"
"20260525","213608","Moise Kouame","318","165"
"20260525","202475","Philip Henning","319","165"
"20260525","127108","Igor Ribeiro Marcondes","320","164"
"20260525","207368","Mert Alkaya","321","163"
"20260525","209407","Max Basing","322","162"
"20260525","208025","Alex Martinez","323","161"
"20260525","126107","Michael Geerts","324","159"
"20260525","208342","Tyler Zink","325","158"
"20260525","200188","Matteo Martineau","326","158"
"20260525","210682","Federico Bondioli","327","158"
"20260525","106121","Taro Daniel","328","157"
"20260525","126337","Renta Tokuda","329","157"
"20260525","209131","Eliakim Coulibaly","330","156"
"20260525","208502","Dominic Stricker","331","154"
"20260525","207491","Sandro Kopp","332","154"
"20260525","210557","Petr Brunclik","333","153"
"20260525","106283","Mitchell Krueger","334","153"
"20260525","210318","Andre Ilagan","335","153"
"20260525","105649","Cedrik Marcel Stebe","336","152"
"20260525","126555","Tung Lin Wu","337","152"
"20260525","106220","Dimitar Kuzmanov","338","152"
"20260525","200346","Mats Rosenkranz","339","151"
"20260525","210472","Oliver Tarvet","340","150"
"20260525","133975","Benjamin Hassan","341","149"
"20260525","132573","Luca Castelnuovo","342","149"
"20260525","211711","Braden Shick","343","149"
"20260525","202235","Jacopo Berrettini","344","148"
"20260525","209890","Mili Poljicak","345","148"
"20260525","207129","Yanki Erel","346","147"
"20260525","117360","Marc Polmans","347","147"
"20260525","212251","Daniel Milavsky","348","147"
"20260525","123809","Ivan Gakhov","349","147"
"20260525","111454","Li Tu","350","145"
"20260525","206589","Gabi Adrian Boitan","351","145"
"20260525","208144","Giles Hussey","352","145"
"20260525","200587","Brandon Holt","353","144"
"20260525","208389","James Trotter","354","143"
"20260525","144972","Geoffrey Blancaneaux","355","143"
"20260525","211627","Hayato Matsuoka","356","143"
"20260525","126206","Alex Rybakov","357","142"
"20260525","106044","Nicolas Kicker","358","142"
"20260525","212241","Carlo Alberto Caniato","359","141"
"20260525","209354","Ioannis Xilas","360","141"
"20260525","212207","Ognjen Milic","361","140"
"20260525","211902","Henry Searle","362","139"
"20260525","202122","Yuta Shimizu","363","138"
"20260525","206867","Tommaso Compagnucci","364","138"
"20260525","126106","Ryan Peniston","365","137"
"20260525","210005","Kilian Feldbausch","366","137"
"20260525","109054","Daniel Masur","367","137"
"20260525","211542","Filippo Romano","368","137"
"20260525","106380","Gonzalo Villanueva","369","137"
"20260525","206470","Cezar Cretu","370","136"
"20260525","105613","Norbert Gombos","371","135"
"20260525","209512","Tom Paris","372","135"
"20260525","200309","Marek Gengel","373","135"
"20260525","129911","Marat Sharipov","374","134"
"20260525","208143","Garrett Johns","375","134"
"20260525","202239","Florian Broska","376","133"
"20260525","106177","Oriol Roca Batalla","377","133"
"20260525","212225","Thomas Faurel","378","131"
"20260525","210377","Luciano Emanuel Ambrogi","379","131"
"20260525","208937","Kasidit Samrej","380","130"
"20260525","209952","Sean Cuenin","381","129"
"20260525","207760","Anton Matusevich","382","129"
"20260525","210042","Gabriele Piraino","383","127"
"20260525","131911","Lucas Poullain","384","127"
"20260525","212268","Max Schoenhaus","385","126"
"20260525","211661","Juan Estevez","386","126"
"20260525","209983","Mika Brunold","387","125"
"20260525","200495","Eduardo Ribeiro","388","125"
"20260525","200666","Jie Cui","389","125"
"20260525","208649","Andrew Fenty","390","125"
"20260525","144973","Santiago Fa Rodriguez Taverna","391","125"
"20260525","212216","Trevor Svajda","392","124"
"20260525","208257","Fabrizio Andaloro","393","124"
"20260525","211768","Manas Dhamne","394","124"
"20260525","200452","Patrick Zahraj","395","124"
"20260525","202199","Carlos Sanchez Jover","396","124"
"20260525","207728","Moerani Bouzige","397","124"
"20260525","200572","Nick Hardt","398","123"
"20260525","144716","Oleg Prihodko","399","123"
"20260525","207231","Mathys Erhard","400","123"
