"match_id","tournament_name","match_date","year","round","surface","player_1_id","player_1_name","player_2_id","player_2_name","predicted_winner_id","predicted_winner_name","player_1_win_probability","player_2_win_probability","ELO_PRE_DIFF","ELO_SURFACE_PRE_DIFF","ATP_RANK_DIFF","ATP_POINT_DIFF","H2H_DIFF","H2H_SURFACE_DIFF","confidence","confidence_band","product_confidence_band","explanation_risk_level","model_agreement_score","visible_signal_agreement_score","visible_signal_conflict_reasons","recommended_explanation_copy"
"2026-08-13-cincinnati-united-states-1st-round-qualifying-111456-200059","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","111456.0","Mackenzie Mcdonald","200059.0","Yibing Wu","200059.0","Yibing Wu","0.3134479522705078","0.6865520477294922","-32.63714386105539","-78.17260732296518","28.0","-131.0","0.0","0.0","0.6865520477294922","Lean","Moderate model agreement","low","1.0","1.0","","The model favors Yibing Wu, with enough support to treat this as a moderate-confidence prediction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-106218-210012","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","106218.0","Marcos Giron","210012.0","Henrique Rocha","106218.0","Marcos Giron","0.8864346146583557","0.1135653853416442","124.12300131965183","86.36685677084438","-38.0","213.0","0.0","0.0","0.8864346146583557","Moderate model confidence","Strong model agreement","low","1.0","1.0","","The model favors Marcos Giron, and the visible pre-match signals mostly point in the same direction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-200711-207985","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","200711.0","Nicolas Mejia","207985.0","Jacob Fearnley","200711.0","Nicolas Mejia","0.5005674958229065","0.4994325041770935","-41.63450666016388","-29.695421547982733","21.0","-91.0","0.0","0.0","0.5005674958229065","Toss-up","Moderate model agreement","medium","1.0","0.0","overall Elo; surface Elo; ATP rank; ATP points","The model favors Nicolas Mejia, with enough support to treat this as a moderate-confidence prediction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-207686-208010","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","207686.0","Alexander Shevchenko","208010.0","Pablo Llamas Ruiz","207686.0","Alexander Shevchenko","0.9163079857826232","0.0836920142173767","17.542744860664698","80.69888854587225","-40.0","210.0","0.0","0.0","0.9163079857826232","High model confidence","Strong model agreement","low","1.0","1.0","","The model favors Alexander Shevchenko, and the visible pre-match signals mostly point in the same direction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-208013-106331","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","208013.0","Dane Sweeny","106331.0","Christopher Oconnell","106331.0","Christopher Oconnell","0.3357298672199249","0.6642701327800751","-22.59360275760309","-53.1506103184272","-5.0","7.0","-0.0","-0.0","0.6642701327800751","Lean","Moderate model agreement","medium","1.0","0.5","ATP rank; ATP points","The model favors Christopher Oconnell, with enough support to treat this as a moderate-confidence prediction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-124116-105477","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","124116.0","Sebastian Ofner","105477.0","Marco Trungelliti","124116.0","Sebastian Ofner","0.9034974575042723","0.0965025424957275","32.337948138076854","39.84399575758562","33.0","-178.0","-1.0","-0.0","0.9034974575042723","High model confidence","Model-driven pick","medium","1.0","0.4","ATP rank; ATP points; head-to-head","The model favors Sebastian Ofner, but some visible signals are mixed. Review the comparison table before over-interpreting the edge."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-207681-105453","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","207681.0","Francisco Comesana","105453.0","Kei Nishikori","105453.0","Kei Nishikori","0.2142372280359268","0.7857627719640732","-140.2596035735296","-168.8102360488333","-621.0","588.0","-0.0","-0.0","0.7857627719640732","Moderate model confidence","Moderate model agreement","medium","1.0","0.5","ATP rank; ATP points","The model favors Kei Nishikori, with enough support to treat this as a moderate-confidence prediction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-212216-208659","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","212216.0","Trevor Svajda","208659.0","Giovanni Mpetshi Perricard","208659.0","Giovanni Mpetshi Perricard","0.067003384232521","0.9329966157674788","-61.80410244395876","-33.21127736806238","349.0","-604.0","-0.0","-0.0","0.9329966157674788","High model confidence","Strong model agreement","low","1.0","1.0","","The model favors Giovanni Mpetshi Perricard, and the visible pre-match signals mostly point in the same direction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-121411-210116","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","121411.0","Moez Echargui","210116.0","Michael Zheng","210116.0","Michael Zheng","0.407423734664917","0.592576265335083","-101.02448817228992","-21.8775553419041","33.0","-173.0","0.0","0.0","0.592576265335083","Toss-up","Moderate model agreement","low","1.0","1.0","","The model favors Michael Zheng, with enough support to treat this as a moderate-confidence prediction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-209409-111805","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","209409.0","Coleman Wong","111805.0","Seong Chan Hong","209409.0","Coleman Wong","0.8635316491127014","0.1364683508872985","70.48578224892253","99.9091647329285","-2192.0","587.0","0.0","0.0","0.8635316491127014","Moderate model confidence","Strong model agreement","low","1.0","1.0","","The model favors Coleman Wong, and the visible pre-match signals mostly point in the same direction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-202261-213987","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","202261.0","Otto Virtanen","213987.0","Vignesh Gogineni","213987.0","Vignesh Gogineni","0.1402646750211715","0.8597353249788284","32.901396955783184","-9.89382074070818","-982.0","542.0","-0.0","-0.0","0.8597353249788284","Moderate model confidence","Low visible-signal agreement","high","1.0","0.25","overall Elo; ATP rank; ATP points","The model favors Vignesh Gogineni, but visible pre-match signals do not strongly agree. Treat this as a higher-risk prediction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-106198-200647","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","106198.0","Hugo Dellien","200647.0","Sho Shimabukuro","200647.0","Sho Shimabukuro","0.0052073989063501","0.99479260109365","-84.78204744234495","-54.20614750089362","49.0","-249.0","-0.0","-0.0","0.99479260109365","High model confidence","Strong model agreement","low","1.0","1.0","","The model favors Sho Shimabukuro, and the visible pre-match signals mostly point in the same direction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-200670-210389","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","200670.0","J J Wolf","210389.0","Toby Samuel","200670.0","J J Wolf","0.868044376373291","0.1319556236267089","-12.55690466765418","16.20092924976848","451.0","-506.0","0.0","0.0","0.868044376373291","Moderate model confidence","Low visible-signal agreement","high","1.0","0.25","overall Elo; ATP rank; ATP points","The model favors J J Wolf, but visible pre-match signals do not strongly agree. Treat this as a higher-risk prediction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-149282-200384","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","149282.0","Nicolai Budkov Kjaer","200384.0","Hugo Gaston","149282.0","Nicolai Budkov Kjaer","0.5606828331947327","0.4393171668052673","-24.955454568221967","-6.764538556251409","54.0","-271.0","-0.0","-0.0","0.5606828331947327","Toss-up","Moderate model agreement","medium","1.0","0.0","overall Elo; surface Elo; ATP rank; ATP points","The model favors Nicolai Budkov Kjaer, with enough support to treat this as a moderate-confidence prediction."
"2026-08-13-cincinnati-united-states-1st-round-qualifying-208021-126129","Cincinnati United States","2026-08-13","2026","1st Round Qualifying","Hard","208021.0","Kyrian Jacquet","126129.0","Billy Harris","126129.0","Billy Harris","0.056674662977457","0.943325337022543","45.93505561909342","64.27844634529924","-43.0","172.0","-0.0","-0.0","0.943325337022543","High model confidence","Low visible-signal agreement","high","1.0","0.0","overall Elo; surface Elo; ATP rank; ATP points","The model favors Billy Harris, but visible pre-match signals do not strongly agree. Treat this as a higher-risk prediction."
