player_id,surface,matches,wins,losses,win_rate,surface_elo,surface_elo_rank
100954,Carpet,11,4,7,0.3636,1468.2283131259028,531.0
100954,Grass,5,1,4,0.2,1468.1982305613374,978.0
100955,Hard,5,5,0,1.0,1559.576046471569,205.0
100955,Carpet,4,1,3,0.25,1475.3484428962172,487.0
100955,Clay,1,0,1,0.0,1488.0,798.0
100962,Hard,29,10,19,0.3448,1442.7825663801361,1487.0
100962,Carpet,15,6,9,0.4,1482.906511472999,424.0
100962,Clay,2,0,2,0.0,1476.0637535949438,1085.0
100962,Grass,2,0,2,0.0,1477.5060501655964,846.0
100967,Hard,16,6,10,0.375,1462.6652035281913,1299.0
100967,Grass,3,0,3,0.0,1465.6376632413885,1015.0
100967,Carpet,1,0,1,0.0,1488.0,326.0
100972,Hard,45,19,26,0.4222,1477.5528615791777,1094.0
100972,Clay,15,7,8,0.4667,1480.7855936576325,999.0
100972,Grass,11,4,7,0.3636,1466.2468759637688,1005.0
100978,Grass,5,0,5,0.0,1445.4019131593939,1133.0
100978,Hard,4,1,3,0.25,1481.4727392460304,1031.0
100990,Carpet,2,1,1,0.5,1499.585699413623,199.0
100990,Hard,1,0,1,0.0,1486.457959810772,932.0
100990,Clay,1,0,1,0.0,1488.0,789.0
100995,Clay,26,10,16,0.3846,1437.5326707363918,1442.0
100995,Hard,11,3,8,0.2727,1455.2299292174491,1392.0
100995,Carpet,8,3,5,0.375,1476.1936352289654,475.0
100995,Grass,3,1,2,0.3333,1488.5553326644902,589.0
100997,Hard,14,4,10,0.2857,1453.802435318551,1407.0
100997,Carpet,3,2,1,0.6667,1511.1999858844101,140.0
100997,Clay,2,1,1,0.5,1502.4314563810333,485.0
101000,Hard,5,0,5,0.0,1447.825208329467,1456.0
101000,Clay,4,1,3,0.25,1475.3094452822977,1104.0
101000,Grass,2,0,2,0.0,1479.794529611193,812.0
101003,Carpet,2,1,1,0.5,1499.585699413623,204.0
101004,Hard,8,1,7,0.125,1444.0916235343918,1479.0
101004,Clay,2,0,2,0.0,1477.283983779461,1062.0
101004,Grass,2,0,2,0.0,1478.7800339328069,828.0
101009,Clay,1,0,1,0.0,1486.2046712944746,900.0
101009,Carpet,1,0,1,0.0,1488.0,340.0
101009,Hard,1,0,1,0.0,1486.132456692867,941.0
101014,Hard,1,0,1,0.0,1488.4393646999981,799.0
101016,Clay,67,23,44,0.3433,1438.8264961656023,1433.0
101016,Hard,12,2,10,0.1667,1433.9905787443006,1545.0
101016,Carpet,6,2,4,0.3333,1476.9794755064306,468.0
101016,Grass,4,1,3,0.25,1486.16033828353,747.0
101022,Hard,20,8,12,0.4,1493.9802345901037,605.0
101022,Carpet,3,0,3,0.0,1467.7691163240593,533.0
101026,Hard,120,51,69,0.425,1430.613531543096,1563.0
101026,Carpet,39,22,17,0.5641,1537.9025889531931,82.0
101026,Grass,13,4,9,0.3077,1452.434680276128,1102.0
101026,Clay,7,2,5,0.2857,1469.2958338780193,1181.0
101027,Clay,2,1,1,0.5,1509.9219151445227,399.0
101027,Carpet,1,0,1,0.0,1491.5927597508894,253.0
101030,Clay,77,41,36,0.5325,1504.7020248591891,449.0
101030,Carpet,21,9,12,0.4286,1491.2512050666073,260.0
101030,Hard,17,9,8,0.5294,1512.0996913963513,375.0
101030,Grass,4,1,3,0.25,1478.0129993558871,835.0
101031,Clay,16,4,12,0.25,1423.074453324671,1499.0
101031,Hard,1,0,1,0.0,1489.4556988080512,754.0
101031,Grass,1,0,1,0.0,1487.5852827887754,682.0
101035,Clay,2,1,1,0.5,1500.6614919087303,510.0
101035,Hard,1,0,1,0.0,1488.3179261187386,809.0
101050,Hard,10,3,7,0.3,1453.7507788689832,1410.0
101050,Grass,5,2,3,0.4,1489.1349435534432,572.0
101050,Carpet,4,2,2,0.5,1500.7051289503352,186.0
101058,Clay,5,3,2,0.6,1521.1093700951849,307.0
101059,Clay,3,2,1,0.6667,1514.9924956683922,347.0
101059,Grass,1,0,1,0.0,1487.585699413623,679.0
101061,Hard,39,19,20,0.4872,1519.8261857564557,334.0
101061,Clay,22,10,12,0.4545,1475.8247256468965,1091.0
101062,Hard,59,30,29,0.5085,1569.444348586637,182.0
101062,Clay,46,19,27,0.413,1512.967354037032,362.0
101062,Carpet,7,2,5,0.2857,1473.6649211050967,501.0
101062,Grass,4,2,2,0.5,1505.5426563983776,317.0
101063,Clay,204,107,97,0.5245,1464.1280000816312,1241.0
101063,Hard,15,8,7,0.5333,1503.3673602543731,468.0
101063,Carpet,5,0,5,0.0,1445.9202127804385,614.0
101063,Grass,1,0,1,0.0,1488.4676516373004,593.0
101066,Hard,11,1,10,0.0909,1409.9132105996705,1627.0
101066,Grass,7,2,5,0.2857,1475.300978178052,901.0
101066,Carpet,5,2,3,0.4,1489.1848967102442,295.0
101071,Carpet,16,7,9,0.4375,1481.414232983387,433.0
101071,Clay,12,3,9,0.25,1458.1812920386656,1300.0
101071,Hard,4,1,3,0.25,1474.1616047508965,1162.0
101071,Grass,1,0,1,0.0,1489.6595969385853,549.0
101073,Clay,48,24,24,0.5,1473.9040484158047,1122.0
