player_id,player_name,country,is_active,atp_rank,atp_points,overall_elo,elo_rank,best_surface,matches,last_10_record,last_30_record
208316,Valentin Royer,FRA,True,74.0,773.0,1498.8249424533683,678.0,Hard,41.0,3-7,8-22
207733,Jack Draper,GBR,True,75.0,760.0,1821.6954767411237,13.0,Hard,182.0,6-4,20-10
124187,Reilly Opelka,USA,True,76.0,758.0,1600.8750085392167,149.0,Hard,250.0,4-6,13-17
209070,Arthur Cazaux,FRA,True,77.0,757.0,1599.3578220393974,152.0,Hard,63.0,5-5,15-15
111794,Kamil Majchrzak,POL,True,78.0,747.0,1657.9389503916177,79.0,Hard,114.0,7-3,15-15
126774,Stefanos Tsitsipas,GRE,True,79.0,740.0,1712.9707062000605,48.0,Clay,572.0,8-2,17-13
105526,Jan Lennard Struff,GER,True,80.0,739.0,1645.2128395897548,91.0,Clay,515.0,6-4,13-17
105477,Marco Trungelliti,ARG,True,81.0,731.0,1494.678383424358,762.0,Clay,61.0,3-7,12-18
105902,James Duckworth,AUS,True,82.0,722.0,1502.311508383576,609.0,Hard,208.0,4-6,11-19
208659,Giovanni Mpetshi Perricard,FRA,True,83.0,710.0,1560.6725721346654,244.0,Hard,102.0,4-6,11-19
106218,Marcos Giron,USA,True,84.0,705.0,1591.5980165120639,164.0,Hard,305.0,5-5,13-17
208260,Zachary Svajda,USA,True,85.0,696.0,1546.9282364775331,282.0,Clay,53.0,5-5,14-16
210017,Daniel Merida Aguilar,ESP,True,86.0,696.0,1634.1203668407006,107.0,Clay,24.0,9-1,16-8
106000,Damir Dzumhur,BIH,True,87.0,694.0,1544.2244911880937,296.0,Clay,324.0,6-4,13-17
207686,Alexander Shevchenko,KAZ,True,88.0,689.0,1559.8779403542287,248.0,Hard,139.0,4-6,13-17
105807,Pablo Carreno Busta,ESP,True,89.0,685.0,1596.2458455791027,156.0,Clay,529.0,5-5,13-17
111460,Quentin Halys,FRA,True,90.0,678.0,1656.0783137955505,81.0,Clay,166.0,8-2,18-12
208118,Eliot Spizzirri,USA,True,91.0,660.0,1576.3935506173102,200.0,Hard,21.0,6-4,11-10
200059,Yibing Wu,CHN,True,92.0,655.0,1563.8040138549354,227.0,Hard,72.0,3-7,12-18
200516,Patrick Kypson,USA,True,93.0,649.0,1451.2501114665906,1736.0,Grass,20.0,2-8,5-15
207182,Emilio Nava,USA,True,94.0,631.0,1525.9283884011982,387.0,Clay,50.0,5-5,13-17
126127,Benjamin Bonzi,FRA,True,95.0,629.0,1623.5673954531328,121.0,Hard,150.0,6-4,15-15
126846,Aleksandar Vukic,AUS,True,96.0,626.0,1564.2223929641918,226.0,Hard,156.0,6-4,15-15
200443,Adam Walton,AUS,True,97.0,614.0,1523.0051291826144,409.0,Clay,71.0,4-6,10-20
208014,Rinky Hijikata,AUS,True,98.0,612.0,1563.3488285148153,232.0,Hard,115.0,5-5,14-16
128034,Hubert Hurkacz,POL,True,99.0,600.0,1709.1054356910897,51.0,Hard,402.0,6-4,15-15
209414,Luca Van Assche,FRA,True,100.0,599.0,1563.2190401524877,233.0,Clay,77.0,6-4,14-16
123828,Jan Choinski,GBR,True,101.0,599.0,1507.0856008608757,546.0,Grass,23.0,6-4,8-15
207681,Francisco Comesana,ARG,True,102.0,598.0,1523.6252882186589,403.0,Clay,72.0,3-7,11-19
200647,Sho Shimabukuro,JPN,True,103.0,596.0,1516.1063257600042,447.0,Grass,27.0,5-5,10-17
208286,Matteo Arnaldi,ITA,True,104.0,586.0,1630.6265355575274,115.0,Clay,157.0,5-5,13-17
126610,Matteo Berrettini,ITA,True,105.0,585.0,1698.1927450056762,56.0,Clay,343.0,6-4,17-13
207411,Jesper De Jong,NED,True,106.0,580.0,1573.5895666934462,205.0,Clay,56.0,5-5,14-16
208169,Titouan Droguet,FRA,True,107.0,578.0,1575.6387196878693,201.0,Hard,26.0,6-4,14-12
207494,Dalibor Svrcina,CZE,True,108.0,577.0,1525.9902826864006,386.0,Hard,27.0,4-6,11-16
209409,Coleman Wong,HKG,True,109.0,574.0,1528.801146983951,368.0,Hard,32.0,4-6,14-16
144684,Alex Molcan,SVK,True,110.0,571.0,1678.7243760998642,62.0,Clay,110.0,6-4,17-13
105932,Nikoloz Basilashvili,GEO,True,111.0,569.0,1485.3826981907096,1166.0,Carpet,344.0,4-6,11-19
124116,Sebastian Ofner,AUT,True,112.0,558.0,1527.0163315624347,377.0,Clay,125.0,3-7,10-20
104527,Stan Wawrinka,SUI,True,113.0,553.0,1501.018032413876,637.0,Hard,939.0,2-8,9-21
106426,Cristian Garin,CHI,True,114.0,552.0,1562.4954551493483,235.0,Clay,255.0,3-7,12-18
210262,Jaime Faria,POR,True,115.0,548.0,1579.7296546001478,193.0,Clay,39.0,6-4,16-14
102093,Martin Damm,USA,True,116.0,547.0,1592.4722831612967,163.0,Hard,31.0,6-4,17-13
105138,Roberto Bautista Agut,ESP,True,117.0,542.0,1550.0440142651019,275.0,Grass,727.0,2-8,10-20
200384,Hugo Gaston,FRA,True,118.0,533.0,1516.09496100498,448.0,Clay,138.0,6-4,11-19
210012,Henrique Rocha,POR,True,119.0,528.0,1467.475015192412,1507.0,Hard,15.0,3-7,5-10
209857,Leandro Riedi,SUI,True,120.0,525.0,1531.47661922096,353.0,Hard,18.0,6-4,7-11
149282,Nicolai Budkov Kjaer,NOR,True,121.0,520.0,1491.139506436758,871.0,Clay,19.0,5-5,7-12
208010,Pablo Llamas Ruiz,ESP,True,122.0,515.0,1542.335195493564,302.0,Clay,24.0,6-4,12-12
209262,Tristan Schoolkate,AUS,True,123.0,512.0,1483.212150605911,1209.0,Grass,29.0,3-7,10-19
126504,Andrea Pellegrino,ITA,True,124.0,507.0,1576.7206291678046,199.0,Clay,23.0,6-4,13-10
207985,Jacob Fearnley,GBR,True,125.0,505.0,1531.0022716460521,358.0,Clay,51.0,4-6,10-20
111456,Mackenzie Mcdonald,USA,True,126.0,501.0,1531.16686999388,357.0,Grass,266.0,5-5,10-20
124186,Alexandre Muller,FRA,True,127.0,494.0,1544.2863606043763,294.0,Hard,132.0,2-8,10-20
208353,Francesco Maestrelli,ITA,True,128.0,490.0,1468.2669483951706,1494.0,Hard,9.0,2-7,2-7
209209,Filip Misolic,AUT,True,129.0,489.0,1541.7052722437718,306.0,Clay,35.0,4-6,12-18
208278,Shintaro Mochizuki,JPN,True,130.0,480.0,1516.9900599026187,439.0,Grass,43.0,7-3,11-19
208013,Dane Sweeny,AUS,True,131.0,468.0,1500.8073785759036,641.0,Grass,15.0,4-6,6-9
209957,Jack Pinnington Jones,GBR,True,132.0,468.0,1496.6111798916318,721.0,Hard,12.0,3-7,4-8
209147,Vilius Gaubas,LTU,True,133.0,464.0,1545.691028461454,289.0,Grass,21.0,6-4,11-10
202261,Otto Virtanen,FIN,True,134.0,462.0,1532.9013969557832,346.0,Grass,44.0,4-6,12-18
210338,Arthur Gea,FRA,True,135.0,460.0,1518.8875281564444,429.0,Hard,11.0,5-5,5-6
