player_id,player_name,name_first,name_last,hand,dob,ioc,height,wikidata_id,atp_rank,atp_points,elo,elo_rank,best_surface,best_surface_elo,historical_matches,prediction_appearances,wins,losses,win_loss_record,last_match_date,is_active
104492,Yuri Radomsky,Yuri,Radomsky,U,19850123.0,BRA,,,,,,,,,0,0,0,0,0-0,,False
104493,Adam Fass,Adam,Fass,R,19850125.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104496,Luis Manuel Flores,Luis Manuel,Flores,L,19850201.0,MEX,,Q6700213,,,,,,,0,0,0,0,0-0,,False
104497,Takanobu Nishio,Takanobu,Nishio,R,19850205.0,JPN,,,,,,,,,0,0,0,0,0-0,,False
104498,Timothy Bradshaw,Timothy,Bradshaw,U,19850207.0,GBR,,,,,,,,,0,0,0,0,0-0,,False
104501,Xin Yuan Yu,Xin Yuan,Yu,L,19850213.0,CHN,,Q3497307,,,,,,,0,0,0,0,0-0,,False
104502,Amit Inbar,Amit,Inbar,L,19850215.0,ISR,,Q6588434,,,,,,,0,0,0,0,0-0,,False
104503,Guillermo Hormazabal,Guillermo,Hormazabal,R,19850219.0,CHI,,Q5616171,,,,,,,0,0,0,0,0-0,,False
104504,Ross Hutchins,Ross,Hutchins,R,19850222.0,GBR,190.0,Q552518,,,,,,,0,0,0,0,0-0,,False
104506,David Brewer,David,Brewer,R,19850224.0,GBR,,,,,,,,,0,0,0,0,0-0,,False
104507,Jeffrey Das,Jeffrey,Das,R,19850225.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104508,Robert Yim,Robert,Yim,L,19850225.0,USA,,Q13512816,,,,,,,0,0,0,0,0-0,,False
104509,Michal Milko,Michal,Milko,L,19850226.0,SVK,,,,,,,,,0,0,0,0,0-0,,False
104511,Lenoir Ramos,Lenoir,Ramos,R,19850301.0,BRA,190.0,,,,,,,,0,0,0,0,0-0,,False
104512,Ergun Zorlu,Ergun,Zorlu,R,19850302.0,TUR,,Q5385849,,,,,,,0,0,0,0,0-0,,False
